name,recall,precision,fpr,accuracy,avg_cost,avg_latency_ms,tp,fp,tn,fn
prompt_guard_only,0.31,0.6458333333333334,0.17,0.57,1.0,94.35522556304932,31,17,83,69
shieldgemma_only,0.95,0.7480314960629921,0.32,0.815,8.0,50.25705695152283,95,32,68,5
wildguard_only,0.98,0.7101449275362319,0.4,0.79,25.0,1085.0163078308105,98,40,60,2
claude_judge_only,0.94,0.8623853211009175,0.15,0.895,15.0,1534.0384244918823,94,15,85,6
always_all,0.93,0.8230088495575221,0.2,0.865,49.0,2582.500696182251,93,20,80,7
cascade,0.95,0.7421875,0.33,0.81,31.12,1290.6328105926514,95,33,67,5
